party	support	year	month
ref	0.36	2007	3
ref	0.34	2007	4
ref	0.45	2007	5
ref	0.43	2007	6
ref	0.43	2007	7
ref	0.44	2007	8
ref	0.42	2007	9
ref	0.39	2007	10
ref	0.39	2007	11
ref	0.39	2007	12
ref	0.35	2008	1
ref	0.35	2008	2
ref	0.3	2008	3
ref	0.34	2008	4
ref	0.33	2008	5
ref	0.33	2008	6
ref	0.3	2008	7
ref	0.36	2008	8
ref	0.34	2008	9
ref	0.29	2008	10
ref	0.31	2008	11
ref	0.29	2008	12
ref	0.3	2009	1
ref	0.28	2009	2
ref	0.33	2009	3
ref	0.26	2009	4
ref	0.25	2009	5
ref	0.25	2009	6
ref	0.21	2009	7
ref	0.28	2009	8
ref	0.28	2009	9
ref	0.31	2009	10
ref	0.28	2009	11
ref	0.3	2009	12
ref	0.35	2010	1
ref	0.31	2010	2
ref	0.35	2010	3
ref	0.32	2010	4
ref	0.34	2010	5
ref	0.35	2010	6
ref	0.37	2010	7
ref	0.39	2010	8
ref	0.38	2010	9
ref	0.41	2010	10
ref	0.43	2010	11
ref	0.36	2010	12
ref	0.36	2011	1
ref	0.28	2011	2
ref	0.29	2011	3
ref	0.31	2011	4
ref	0.33	2011	5
ref	0.33	2011	6
ref	0.31	2011	7
ref	0.29	2011	8
ref	0.31	2011	9
ref	0.32	2011	10
ref	0.31	2011	11
ref	0.33	2011	12
ref	0.3	2012	1
ref	0.28	2012	2
ref	0.29	2012	3
ref	0.27	2012	4
ref	0.3	2012	5
ref	0.31	2012	6
ref	0.34	2012	7
ref	0.39	2012	8
ref	0.33	2012	9
ref	0.32	2012	10
ref	0.26	2012	11
ref	0.22	2012	12
ref	0.2	2013	1
ref	0.23	2013	2
ref	0.25	2013	3
ref	0.25	2013	4
ref	0.24	2013	5
ref	0.24	2013	6
ref	0.24	2013	7
ref	0.2	2013	8
ref	0.21	2013	9
ref	0.22	2013	10
ref	0.18	2013	11
ref	0.19	2013	12
ref	0.24	2014	1
ref	0.21	2014	2
ref	0.24	2014	3
ref	0.25	2014	4
ref	0.29	2014	5
ref	0.31	2014	6
ref	0.31	2014	7
ref	0.29	2014	8
ref	0.27	2014	9
ref	0.27	2014	10
ref	0.29	2014	11
kesk	0.26	2007	3
kesk	0.24	2007	4
kesk	0.22	2007	5
kesk	0.18	2007	6
kesk	0.2	2007	7
kesk	0.24	2007	8
kesk	0.2	2007	9
kesk	0.22	2007	10
kesk	0.23	2007	11
kesk	0.22	2007	12
kesk	0.23	2008	1
kesk	0.25	2008	2
kesk	0.27	2008	3
kesk	0.22	2008	4
kesk	0.26	2008	5
kesk	0.29	2008	6
kesk	0.24	2008	7
kesk	0.26	2008	8
kesk	0.26	2008	9
kesk	0.32	2008	10
kesk	0.27	2008	11
kesk	0.35	2008	12
kesk	0.28	2009	1
kesk	0.3	2009	2
kesk	0.31	2009	3
kesk	0.33	2009	4
kesk	0.3	2009	5
kesk	0.33	2009	6
kesk	0.31	2009	7
kesk	0.29	2009	8
kesk	0.34	2009	9
kesk	0.3	2009	10
kesk	0.28	2009	11
kesk	0.26	2009	12
kesk	0.27	2010	1
kesk	0.24	2010	2
kesk	0.24	2010	3
kesk	0.28	2010	4
kesk	0.29	2010	5
kesk	0.26	2010	6
kesk	0.24	2010	7
kesk	0.25	2010	8
kesk	0.25	2010	9
kesk	0.24	2010	10
kesk	0.23	2010	11
kesk	0.26	2010	12
kesk	0.23	2011	1
kesk	0.25	2011	2
kesk	0.23	2011	3
kesk	0.22	2011	4
kesk	0.2	2011	5
kesk	0.22	2011	6
kesk	0.21	2011	7
kesk	0.21	2011	8
kesk	0.24	2011	9
kesk	0.2	2011	10
kesk	0.23	2011	11
kesk	0.22	2011	12
kesk	0.27	2012	1
kesk	0.26	2012	2
kesk	0.23	2012	3
kesk	0.25	2012	4
kesk	0.19	2012	5
kesk	0.23	2012	6
kesk	0.22	2012	7
kesk	0.2	2012	8
kesk	0.24	2012	9
kesk	0.25	2012	10
kesk	0.23	2012	11
kesk	0.24	2012	12
kesk	0.28	2013	1
kesk	0.26	2013	2
kesk	0.26	2013	3
kesk	0.24	2013	4
kesk	0.26	2013	5
kesk	0.28	2013	6
kesk	0.28	2013	7
kesk	0.26	2013	8
kesk	0.29	2013	9
kesk	0.29	2013	10
kesk	0.29	2013	11
kesk	0.32	2013	12
kesk	0.25	2014	1
kesk	0.27	2014	2
kesk	0.27	2014	3
kesk	0.22	2014	4
kesk	0.24	2014	5
kesk	0.24	2014	6
kesk	0.24	2014	7
kesk	0.24	2014	8
kesk	0.25	2014	9
kesk	0.27	2014	10
kesk	0.22	2014	11
irl	0.14	2007	3
irl	0.15	2007	4
irl	0.12	2007	5
irl	0.16	2007	6
irl	0.13	2007	7
irl	0.12	2007	8
irl	0.15	2007	9
irl	0.15	2007	10
irl	0.15	2007	11
irl	0.13	2007	12
irl	0.13	2008	1
irl	0.12	2008	2
irl	0.16	2008	3
irl	0.14	2008	4
irl	0.18	2008	5
irl	0.13	2008	6
irl	0.16	2008	7
irl	0.15	2008	8
irl	0.15	2008	9
irl	0.14	2008	10
irl	0.15	2008	11
irl	0.13	2008	12
irl	0.12	2009	1
irl	0.14	2009	2
irl	0.11	2009	3
irl	0.14	2009	4
irl	0.17	2009	5
irl	0.14	2009	6
irl	0.19	2009	7
irl	0.18	2009	8
irl	0.14	2009	9
irl	0.17	2009	10
irl	0.19	2009	11
irl	0.19	2009	12
irl	0.16	2010	1
irl	0.18	2010	2
irl	0.19	2010	3
irl	0.15	2010	4
irl	0.16	2010	5
irl	0.16	2010	6
irl	0.18	2010	7
irl	0.14	2010	8
irl	0.19	2010	9
irl	0.16	2010	10
irl	0.15	2010	11
irl	0.15	2010	12
irl	0.16	2011	1
irl	0.21	2011	2
irl	0.20	2011	3
irl	0.19	2011	4
irl	0.17	2011	5
irl	0.13	2011	6
irl	0.15	2011	7
irl	0.18	2011	8
irl	0.16	2011	9
irl	0.16	2011	10
irl	0.16	2011	11
irl	0.16	2011	12
irl	0.13	2012	1
irl	0.14	2012	2
irl	0.12	2012	3
irl	0.13	2012	4
irl	0.17	2012	5
irl	0.14	2012	6
irl	0.15	2012	7
irl	0.13	2012	8
irl	0.11	2012	9
irl	0.13	2012	10
irl	0.17	2012	11
irl	0.18	2012	12
irl	0.16	2013	1
irl	0.17	2013	2
irl	0.15	2013	3
irl	0.13	2013	4
irl	0.15	2013	5
irl	0.14	2013	6
irl	0.14	2013	7
irl	0.14	2013	8
irl	0.18	2013	9
irl	0.2	2013	10
irl	0.22	2013	11
irl	0.2	2013	12
irl	0.22	2014	1
irl	0.19	2014	2
irl	0.16	2014	3
irl	0.19	2014	4
irl	0.15	2014	5
irl	0.14	2014	6
irl	0.16	2014	7
irl	0.15	2014	8
irl	0.18	2014	9
irl	0.16	2014	10
irl	0.18	2014	11
sde	0.09	2007	3
sde	0.12	2007	4
sde	0.09	2007	5
sde	0.1	2007	6
sde	0.1	2007	7
sde	0.08	2007	8
sde	0.07	2007	9
sde	0.09	2007	10
sde	0.1	2007	11
sde	0.08	2007	12
sde	0.12	2008	1
sde	0.11	2008	2
sde	0.12	2008	3
sde	0.11	2008	4
sde	0.11	2008	5
sde	0.09	2008	6
sde	0.11	2008	7
sde	0.09	2008	8
sde	0.12	2008	9
sde	0.08	2008	10
sde	0.09	2008	11
sde	0.08	2008	12
sde	0.13	2009	1
sde	0.12	2009	2
sde	0.13	2009	3
sde	0.14	2009	4
sde	0.15	2009	5
sde	0.14	2009	6
sde	0.14	2009	7
sde	0.12	2009	8
sde	0.14	2009	9
sde	0.12	2009	10
sde	0.16	2009	11
sde	0.13	2009	12
sde	0.13	2010	1
sde	0.16	2010	2
sde	0.12	2010	3
sde	0.12	2010	4
sde	0.11	2010	5
sde	0.11	2010	6
sde	0.11	2010	7
sde	0.1	2010	8
sde	0.08	2010	9
sde	0.1	2010	10
sde	0.11	2010	11
sde	0.13	2010	12
sde	0.14	2011	1
sde	0.16	2011	2
sde	0.17	2011	3
sde	0.19	2011	4
sde	0.22	2011	5
sde	0.21	2011	6
sde	0.24	2011	7
sde	0.24	2011	8
sde	0.22	2011	9
sde	0.23	2011	10
sde	0.24	2011	11
sde	0.22	2011	12
sde	0.19	2012	1
sde	0.22	2012	2
sde	0.3	2012	3
sde	0.29	2012	4
sde	0.29	2012	5
sde	0.24	2012	6
sde	0.25	2012	7
sde	0.2	2012	8
sde	0.24	2012	9
sde	0.22	2012	10
sde	0.25	2012	11
sde	0.28	2012	12
sde	0.27	2013	1
sde	0.26	2013	2
sde	0.27	2013	3
sde	0.27	2013	4
sde	0.26	2013	5
sde	0.26	2013	6
sde	0.26	2013	7
sde	0.25	2013	8
sde	0.23	2013	9
sde	0.2	2013	10
sde	0.23	2013	11
sde	0.23	2013	12
sde	0.23	2014	1
sde	0.26	2014	2
sde	0.26	2014	3
sde	0.28	2014	4
sde	0.27	2014	5
sde	0.25	2014	6
sde	0.24	2014	7
sde	0.26	2014	8
sde	0.23	2014	9
sde	0.19	2014	10
sde	0.22	2014	11
sde	0.21	2014	12
irl	0.16	2014	12
kesk	0.23	2014	12
ref	0.32	2014	12
sde	0.16	2015	1
irl	0.16	2015	1
kesk	0.26	2015	1
ref	0.22	2015	1
vaba	0.08	2015	1
ekre	0.05	2015	1
sde	0.18	2015	2
irl	0.16	2015	2
kesk	0.27	2015	2
ref	0.22	2015	2
vaba	0.09	2015	2
ekre	0.09	2015	2
sde	0.16	2015	3
irl	0.1	2015	3
